reg_number,url,law,purchase_method,status,object_name,customer_name,customer_url,initial_price,region_code,region_name,scraped_at
0176200005526000696,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000696,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственных препаратов (родовые сертификаты),КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,702570.0,74,Челябинская область,2026-04-25T20:29:54.582767
0176200005526000695,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000695,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственных препаратов для медицинского применения,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,144900.0,74,Челябинская область,2026-04-25T20:29:58.869621
0176200005526000693,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000693,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственных препаратов для медицинского применения,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,137000.0,74,Челябинская область,2026-04-25T20:29:58.870725
0360300019826000068,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0360300019826000068,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственного препарата Дидрогестерон,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 9""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=803044,5386.0,74,Челябинская область,2026-04-25T20:29:58.871594
0176200005526000683,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000683,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка изделий медицинского назначения,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,588948.0,74,Челябинская область,2026-04-25T20:29:58.872902
0176200005526000677,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000677,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,поставка изделий медицинского назначения,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,589644.08,74,Челябинская область,2026-04-25T20:29:58.874456
0360300019826000082,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0360300019826000082,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка лекарственного препарата Лозартан,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 9""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=803044,6990.0,74,Челябинская область,2026-04-25T20:29:58.875681
0176200005526000702,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000702,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственных препаратов,КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,239525.0,74,Челябинская область,2026-04-25T20:29:58.876551
0176200005526000748,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0176200005526000748,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка автономных дымовых пожарных извещателей (совместный электронный аукцион),КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=2089066,5777851.46,74,Челябинская область,2026-04-25T20:29:58.877437
0371100002726000016,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0371100002726000016,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Оказание услуг по страхованию гражданской ответственности владельца опасного объекта за причинение вреда в результате аварии на опасном объекте,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЕРУССКОЕ УПРАВЛЕНИЕ МЕЛИОРАЦИИ ЗЕМЕЛЬ И СЕЛЬСКОХОЗЯЙСТВЕННОГО ВОДОСНАБЖЕНИЯ""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=710058,36000.0,74,Челябинская область,2026-04-25T20:29:58.878316
